Section,Key,Context,Page,English,Dutch,Notes
CHECKOUT,checkout.account.email.label,Email field label,Checkout,Email address,E-mailadres,Form field
CHECKOUT,checkout.account.email.placeholder,Email field placeholder,Checkout,you@example.com,jij@voorbeeld.nl,Input example
CHECKOUT,checkout.account.email.error,Email validation error,Checkout,Please enter a valid email address,Voer een geldig e-mailadres in,Error message
CHECKOUT,checkout.account.exists,Account exists message,Checkout,An account with this email already exists.,Er bestaat al een account met dit e-mailadres.,Account conflict
CHECKOUT,checkout.account.back,Back button in account,Checkout,Back,Terug,Navigation
CHECKOUT,checkout.account.continue,Continue button in account,Checkout,Continue to payment,Ga door naar betaling,Proceed action
CHECKOUT,checkout.payment.title,Payment section heading,Checkout,Payment Information,Betaalgegevens,Payment form
CHECKOUT,checkout.payment.card.label,Card number field label,Checkout,Card number,Kaartnummer,Form field
CHECKOUT,checkout.payment.card.placeholder,Card number placeholder,Checkout,1234 5678 9012 3456,1234 5678 9012 3456,Input example
CHECKOUT,checkout.payment.expiry.label,Expiry date field label,Checkout,Expiry date,Vervaldatum,Form field
CHECKOUT,checkout.payment.expiry.placeholder,Expiry placeholder,Checkout,MM/YY,MM/JJ,Input format
CHECKOUT,checkout.payment.cvc.label,CVC field label,Checkout,CVC,CVC,Form field
CHECKOUT,checkout.payment.cvc.placeholder,CVC placeholder,Checkout,123,123,Input example
CHECKOUT,checkout.payment.name.label,Cardholder name field label,Checkout,Cardholder name,Naam kaarthouder,Form field
CHECKOUT,checkout.payment.name.placeholder,Name placeholder,Checkout,John Doe,Jan Jansen,Input example
CHECKOUT,checkout.payment.terms,Terms acceptance checkbox,Checkout,"I agree to the {termsLink} and {privacyLink}","Ik ga akkoord met de {termsLink} en het {privacyLink}",Legal agreement - termsLink and privacyLink are hyperlinks
CHECKOUT,checkout.payment.terms.link1,Terms of Service link text,Checkout,Terms of Service,Gebruiksvoorwaarden,Hyperlink text
CHECKOUT,checkout.payment.terms.link2,Privacy Policy link text,Checkout,Privacy Policy,Privacybeleid,Hyperlink text
CHECKOUT,checkout.cta.complete,Complete purchase button,Checkout,Complete Purchase,Voltooi Aankoop,Final CTA
CHECKOUT,checkout.cta.mobilecomplete,Mobile complete button,Checkout,Complete Purchase,Voltooi Aankoop,Mobile CTA
CHECKOUT,checkout.bonus.title,Bonus feature title,Checkout,Get 2 months free,Ontvang 2 maanden gratis,Promotional offer
CHECKOUT,checkout.bonus.description,Bonus description,Checkout,Your first 2 months are on us when you choose annual billing,Je eerste 2 maanden zijn van ons als je voor jaarlijkse facturatie kiest,Offer details
CHECKOUT,checkout.bonus.feature1.title,First bonus feature,Checkout,Full access to all features,Volledige toegang tot alle functies,Benefit
CHECKOUT,checkout.bonus.feature1.description,Feature 1 description,Checkout,"Including smart device integration, enhanced monitoring, and priority support","Inclusief slimme apparaten koppelen, uitgebreidere monitoring en voorrang bij support",Details
CHECKOUT,checkout.bonus.feature2.title,Second bonus feature,Checkout,Worth €16 in value,Ter waarde van €16,Monetary value
CHECKOUT,checkout.bonus.feature2.description,Feature 2 description,Checkout,"That's 2 months completely free, automatically applied to your purchase","Dat zijn 2 maanden helemaal gratis, automatisch toegepast op je aankoop",Savings explanation
CHECKOUT,checkout.bonus.applied,Bonus applied label,Checkout,2 months free bonus applied,2 maanden gratis bonus toegepast,Confirmation
CHECKOUT,checkout.bonus.value,Bonus value saved,Checkout,-€{amount},-€{amount},Discount shown
CONTACT,contact.title,Page heading,Contact Us,Get in Touch,Neem Contact Op,Page title
CONTACT,contact.description,Page description,Contact Us,Have questions? We'd love to hear from you.,Heb je vragen? We horen graag van je.,Intro text
CONTACT,contact.email.label,Email field,Contact Us,Your email,Je e-mailadres,Form field
CONTACT,contact.subject.label,Subject field,Contact Us,Subject,Onderwerp,Form field
CONTACT,contact.message.label,Message field,Contact Us,Message,Bericht,Form field
CONTACT,contact.submit,Submit button,Contact Us,Send Message,Verstuur Bericht,Action button
HELP,help.title,Page heading,Help Center,How can we help you?,Hoe kunnen we je helpen?,Page title
HELP,help.search.placeholder,Search placeholder,Help Center,Search for help...,Zoek naar hulp...,Search input
HELP,help.categories.title,Categories heading,Help Center,Browse by category,Bladeren per categorie,Section title
SMART DEVICES,devices.title,Page heading,Smart Devices,Compatible Smart Devices,Compatibele Slimme Apparaten,Page title
SMART DEVICES,devices.subtitle,Page subtitle,Smart Devices,"Enhance your monitoring with optional smart devices. Not required, but adds reliability.","Verbeter je monitoring met optionele slimme apparaten. Niet verplicht, maar voegt betrouwbaarheid toe.",Value proposition
TERMS,terms.title,Page heading,Terms of Service,Terms of Service,Gebruiksvoorwaarden,Legal page title
TERMS,terms.lastupdated,Last updated label,Terms of Service,Last updated: {date},Laatst bijgewerkt: {date},Timestamp
PRIVACY POLICY,privacypolicy.title,Page heading,Privacy Policy,Privacy Policy,Privacybeleid,Legal page title
PRIVACY POLICY,privacypolicy.lastupdated,Last updated label,Privacy Policy,Last updated: {date},Laatst bijgewerkt: {date},Timestamp
SECURITY,security.title,Page heading,Security,Security & Data Protection,Beveiliging & Databescherming,Page title
SECURITY,security.description,Page description,Security,Your security and privacy are our top priorities,Jouw veiligheid en privacy zijn onze topprioriteiten,Intro text
